treatment,response,cov1,cov2,cov3
1,4.99930046,0.220522197,0.547565545,0.376336945
1,2.42675729,0.398821862,0.935518341,-0.512062312
1,4.913834462,-0.348532486,-0.126719412,0.418763245
1,3.797617874,1.021927692,0.628545651,0.509789385
1,4.18707642,0.282894973,0.454667071,0.30500747
1,2.140633234,-0.546100844,-0.504033668,-0.118376945
1,3.80366479,-1.570449836,0.262047765,0.4924687
1,2.306016911,-0.46014641,2.108621871,1.117007879
0,2.58071364,-0.173654387,0.339675051,0.544545387
1,-2.224205403,-0.106629003,2.592520031,-0.265063145
1,2.90751661,-0.705689206,0.558433555,0.103331292
1,4.989822844,-0.23352254,0.163854532,0.107528004
0,-1.19133531,-1.032671046,-0.012944308,-0.53018845
0,-1.051371474,-0.158928572,0.061319043,-1.072334348
0,-0.367948478,-0.874985895,-1.539882075,0.102600043
1,5.017423901,0.213488153,-0.369468176,0.544927526
1,6.83245135,-1.336895062,0.492049429,0.938511296
1,1.126998087,-0.216491668,-1.301400297,0.207871074
1,-0.962048223,-0.597354012,-1.772287542,0.521433782
1,5.128148135,0.625586933,-0.404168663,0.097517825
1,4.221212334,1.591638474,-0.10985403,-0.147486887
1,2.424996954,-0.022516678,-0.447960667,0.521568274
0,-1.868236776,0.09177271,0.730523554,-1.093212841
0,-9.515400807,-1.905730684,1.114853552,-1.966804898
1,6.089663331,-1.630245942,1.184632562,0.941101872
1,2.959107095,0.335060812,1.770414864,0.987817403
0,-0.21663665,-0.08994545,-1.110707178,-0.280953612
1,4.925266768,-0.129651448,0.297896914,0.10247145
1,-1.408631295,-0.486862635,-1.021819246,-0.549478419
0,-3.541863822,-0.807093116,-0.775237175,-1.081704555
1,1.801374875,-0.422645836,-0.435277096,-0.019967007
1,3.78488002,1.508843004,-1.039811086,-0.28950092
1,1.581505043,0.885749567,-0.08317122,0.506723121
1,2.26829965,-1.574368161,-1.198900018,0.283937337
1,3.729661966,-0.438099656,-0.476670609,0.046841706
1,3.451383648,-0.551386175,-1.327555119,0.847113835
1,6.610336529,0.22297553,0.614051046,1.634910487
0,1.262605787,0.624943072,-0.456832376,-1.395480049
0,-1.309282347,-0.931863217,-0.666215953,-0.07564468
1,3.903251472,-0.564415717,-0.31534907,0.910912089
0,3.118627901,-0.495040928,1.131195013,0.973134399
1,4.531524471,-1.14819965,1.120799613,0.229613143
0,1.126426926,0.69000914,1.012218705,-1.119440028
0,0.331083733,-1.835282015,0.500748664,-0.697377144
1,2.878814689,0.235724382,0.273948847,0.626106762
0,-1.178845453,-1.722313551,0.593079346,-0.766371375
1,4.125438063,1.541427438,1.035487749,-0.014667137
0,-0.677301492,-1.128569597,0.955812938,-0.670231127
1,4.146542849,-0.815322582,0.500650489,-0.185285792
1,0.744669377,-0.087865166,-0.901480366,-0.702308058
0,3.508335189,-0.549393096,-0.977623962,1.693186384
1,3.662710852,-0.182117001,-0.147270192,-0.664934693
1,2.173130287,-0.520253242,1.141088288,-0.418003064
0,-5.75741116,-0.975860045,1.253029558,-1.897548179
0,0.50682134,-0.047100073,-0.388946786,-0.623742708
1,2.903966624,1.230989016,0.896688652,1.759732582
0,1.306301261,-0.542516267,-0.497550504,1.111569997
1,1.067083998,0.21702244,-1.640803103,0.717731147
1,4.432925802,1.111197276,0.314724032,-0.429736198
1,3.482776002,-0.56277628,-0.213357457,0.202017967
1,4.095580485,-1.825496411,2.048174859,1.102982916
0,-2.859076894,-1.245582707,-1.147271698,-0.704460036
1,4.420252447,-0.14922318,0.838386161,0.398697586
0,1.464224463,0.48250046,0.193104536,-1.715764303
0,0.612425996,-0.011025411,1.195712861,0.648844376
1,3.303246831,0.009456667,0.880515244,1.090436586
0,-1.826844387,-1.371673607,-1.114418307,-0.224947956
1,3.110927018,1.532354295,-0.350454388,0.279490521
1,2.958888971,0.238512876,-0.542872742,1.345528253
1,6.210224737,-1.785591351,0.416448151,1.079373052
1,1.002729617,-0.847635328,-0.346447596,-0.822185414
1,3.215424608,0.013544937,-0.737845338,-0.471507228
1,3.471257046,0.829532278,0.123891822,1.4405119
1,3.066041795,-0.063950725,-0.137594274,0.23306224
1,0.097204337,-0.515592813,-1.474137388,0.763430673
1,6.660916039,-0.758349901,0.544688438,1.434904461
1,3.822962031,-0.06364237,-0.309366016,-0.705960847
1,2.865477844,0.682039463,1.851588907,-0.632716412
0,-3.405138917,-1.785793121,-1.398071612,-0.39817809
0,-0.021403172,-0.34676999,-0.223292279,-0.054095432
0,2.009774504,-1.352505905,-0.492315773,0.696626371
1,3.973557397,0.541208581,0.109273456,-0.408358543
1,1.373786168,1.249522305,-0.471376294,0.463554411
0,0.391436228,0.252491975,0.531560051,-0.242642504
1,-0.447497964,-0.388512038,-0.669689629,-0.770021676
0,4.15120058,-1.530973719,-1.502291015,2.454499154
1,4.267035879,-0.218680631,-0.063644847,0.888266856
1,3.177100816,-0.1635764,0.448282177,-1.151210424
1,2.332166992,-0.055810432,-0.790355785,0.395000425
0,-1.76186851,-0.653569079,-1.464751931,0.306648536
1,3.616418027,0.378580551,0.973485866,1.316105683
1,-6.21762108,-0.780683782,-2.490950465,-0.365473173
0,-2.470818803,0.879146006,2.169228725,-0.658000843
0,0.797461484,-0.133334105,0.53464757,-0.162522433
1,4.893361656,0.182207749,0.723339092,0.299071903
1,3.759397193,-1.162275992,0.452750115,-0.052457255
1,3.052585971,-1.037765717,0.992737608,-0.368090661
1,4.171772429,0.856474731,0.729098301,0.163835848
0,4.330534319,-0.732096112,0.483877176,1.35390323
0,-0.493743913,0.014286922,-1.123832849,0.705201982
1,3.291220173,0.63388993,-0.341677282,-0.402825041
0,2.995616455,-0.502368486,0.566702651,0.125895212
1,2.774748323,-0.092157062,-0.57633392,-0.96056774
0,1.332379594,-1.392048954,-0.601667089,0.932447917
0,-1.058078151,-0.147417255,-1.443940893,-0.020819761
1,1.76410315,-0.018731609,-0.264398966,-0.672262675
1,-7.6336814,0.806674946,-2.804257597,-0.496920298
0,1.38860898,-0.28423191,-0.033485101,0.943290472
1,2.831929199,1.140536952,0.213864778,1.366972288
1,-0.895684516,0.537012835,-1.765065584,2.469871561
1,3.076120415,1.208374171,0.287409949,1.318826967
1,1.75803949,1.049728502,0.676694483,1.43986835
0,-7.711315917,-0.524796016,-2.688595097,0.410764093
1,0.274772539,0.42879666,-1.440010796,-0.26949772
1,3.939736106,0.361545277,0.139831368,0.934741358
1,4.470562698,0.588520106,-0.1066893,0.682728994
0,-0.407171091,-1.559006496,0.464940478,-0.653502908
1,6.476840918,-1.346939576,0.290820957,0.591103994
1,3.376019642,0.257302685,-0.15767198,0.800852646
0,4.250394063,1.197103915,0.836824266,-2.561722618
0,1.480254285,0.542989813,1.10859959,-1.093004688
0,-0.159679127,-0.083305494,-0.166990622,-0.570293549
0,-7.313102579,0.004447685,-1.685239193,-1.799791675
1,2.043398362,0.634541008,0.879474948,0.968769557
0,1.908840903,0.298688189,0.131968755,-0.710571535
0,1.40453056,0.764300112,1.197286644,-0.917884317
1,2.81962617,0.787315714,1.657980819,0.82863258
0,-2.674642084,-1.038480139,0.391260157,-1.643877205
1,4.152225091,-2.242972704,-0.481375951,0.610008743
1,4.138716102,0.118178518,-0.518445915,0.242002068
1,4.735076028,-1.990955051,0.665784343,0.576014642
1,0.259109546,1.02741556,-1.752729547,-0.537429016
0,-7.275797229,0.679202413,-2.130254696,-0.588944279
1,-3.51518383,0.411770924,-2.509475624,0.504916898
1,3.725969763,0.381153618,-0.454155875,1.19560403
1,3.996335131,0.785819565,-0.336742603,0.822154976
1,2.169031418,1.230593052,-1.146376129,0.074924025
1,1.061446199,1.328605531,-0.585625937,-0.070506803
0,4.991961899,1.633934224,0.494288769,-2.204011248
0,2.219520386,0.26727876,1.155765767,0.449207238
1,0.597130938,0.089653625,2.372663658,0.667150884
1,-0.921008656,-1.491238468,0.430293112,-1.280766405
0,-3.183325231,-0.725710401,-0.619789663,-1.710606676
0,1.740264605,-0.117947679,-0.229917015,-0.966059246
0,-2.624132363,-1.075843665,-0.514563992,-0.147321672
0,3.667889675,1.946934033,0.490097289,-0.018757455
0,-1.407515103,-1.123706436,-0.660053119,0.027159103
1,7.843664317,-0.198624287,0.2539232,1.907953497
0,-0.420966425,-0.073314525,0.497308005,-0.574443485
0,-2.956410679,-0.825169098,-0.536647963,-1.105879946
0,3.844121284,0.031953822,0.454168519,1.326175707
1,4.603616885,-0.13547589,0.02238826,1.398958896
1,-0.886064829,1.628238402,-1.985667654,-0.90065335
0,4.362294631,1.878251717,0.145191494,-0.910512375
1,2.426152766,-1.033558838,0.386683767,-0.656163814
1,3.309453016,0.062895323,1.241567483,1.042266178
1,-2.989226588,-0.563714848,-2.202093118,-0.255647699
1,5.757465059,1.196539579,0.194023741,-1.074172268
0,-0.526029227,-0.43054454,-0.836765097,0.45786754
1,3.547317909,0.337554368,0.287568671,0.109126224
1,-5.076414148,-1.203997179,-2.204275211,-0.693076546
0,-0.30817074,0.435155838,-0.28165303,-1.284498312
1,-4.433475399,0.26743151,-2.515395963,-0.120313424
0,-2.533140635,0.151522983,-0.683727798,-2.639906963
1,1.460750188,0.926542702,-0.615605794,-0.174991707
0,2.615784607,-0.409162001,0.095719484,-0.070228629
1,5.773666172,-0.634250337,0.454437088,1.911729327
1,2.541320234,-0.577930844,0.247655999,-0.033702988
0,0.093089237,-0.252538487,-0.379935087,-0.068511361
0,-2.866616826,-0.347212694,0.093771198,-1.87978948
1,-2.639271909,0.437154056,-1.938212867,1.221752137
1,-1.796532606,-1.863343587,-0.66217626,-0.557515901
0,-2.048531064,-1.285461942,0.797866506,-1.000571495
1,1.351797594,1.127187851,-1.148948531,-1.01074283
0,1.622719648,-0.294685609,0.125361709,0.746016825
1,2.413609202,1.375267639,-1.275448624,0.217440414
0,0.664124079,-1.4824526,-1.494046355,1.319473334
1,3.576875314,1.31444246,-0.615025209,0.224115812
1,3.220073188,0.472508416,-1.058119528,1.282973511
1,6.099332962,0.38900056,-0.329376866,1.532272712
0,-1.271652523,-0.948120965,0.593450594,-1.692966884
0,-1.036654436,-0.236696698,-1.071690614,0.718265837
1,2.055538562,1.306989497,-1.06102869,-1.969818458
0,0.620604963,0.16383501,1.724046155,1.995273177
1,3.248209833,0.723591938,-0.209586937,0.074961822
1,6.066638815,0.021710475,-0.709225325,1.481280401
0,-2.402471108,0.915446996,2.044532063,1.173567274
1,4.866609091,0.090305845,-0.565738374,1.184015012
1,2.857349887,-0.885311131,1.84193673,0.505932624
1,2.799704959,0.305732755,1.758577633,1.448459765
0,-4.307177605,-1.7863146,-0.252555424,-0.867244634
0,0.094603431,-2.420140151,-0.93265127,0.507787477
1,6.177565021,1.642518382,0.892038468,-0.388826718
1,5.804499377,-1.900972325,1.564161994,1.115016127
1,2.254570923,0.430072268,-0.446400526,0.413292449
0,1.072413182,-1.26351909,-0.114058266,1.47060916
0,0.732747579,1.516376187,1.035450841,1.04198002
0,-0.108311813,0.269128594,0.233175081,-0.657710166
1,3.583184827,-0.909344539,-1.00522,0.662111351
1,4.628903601,-0.575802189,0.310936656,0.982245327
1,2.605116002,0.804845965,0.940125843,0.708883379
1,1.934766294,-0.771752635,0.188426064,-0.707777912
1,4.156736533,-0.355405688,0.348619937,0.306691191
0,0.932334614,0.240803816,0.04363185,-0.945103329
1,2.317663573,0.727326256,-0.746562011,-0.848063899
0,1.920127446,-0.382475019,0.881191614,-0.110790673
1,2.154031218,-0.685863348,0.51671065,-1.040379943
1,2.536953284,1.086527522,1.406445419,1.333433521
1,2.062499787,1.090993523,1.483687371,0.78245458
1,2.040008776,0.518530968,-0.829361429,-0.213053872
1,-7.911472617,0.481207256,-3.011287596,-1.410826739
1,-0.448848616,0.792048067,-1.336345597,1.353896681
1,2.299057419,0.300423007,-0.004805977,-0.207567087
0,-2.062939717,-1.083872845,0.863828043,-1.481753615
0,-5.189360263,-1.048072904,-0.635923371,-2.411972998
0,-0.125193496,0.658066139,0.481316951,-1.098982444
1,1.024237885,-0.284527239,2.601194671,0.579942627
1,2.079543842,1.493833019,2.066094001,0.3032956
1,1.741812358,-0.513373098,1.78622438,-0.673567337
1,3.340310805,0.333213767,-1.070759613,-0.034227366
1,3.92471318,-0.336432878,-1.398473888,1.936462551
1,2.032324113,-1.030428282,0.889148461,0.530123139
0,-0.043972023,-0.292576309,0.105321831,-0.418576308
0,-1.740666008,-1.278626012,1.129548839,-0.557409142
1,0.097249985,0.843819888,-1.906770941,-2.323794289
1,-1.460255929,-0.252695503,-1.930311134,0.694072762
1,4.783688273,-1.557158128,-0.31038558,0.648213974
0,3.554487511,-1.448985855,0.529110403,0.604852787
1,5.258130301,-0.391356577,0.453230275,0.979933883
1,-0.641610774,-0.255866628,-1.818664257,-0.08033188
1,3.703241944,0.416415,-0.066998683,1.186290062
1,-1.540228947,0.899379363,-1.672587325,1.101862219
1,3.437353361,-0.348123025,0.136699206,-0.727412833
1,2.011300393,-0.548391693,-0.143534395,-0.528537867
1,3.545931099,0.686284761,-0.450540985,0.006239113
0,-4.678935258,-1.337792503,0.074855547,-1.722967637
1,3.681549705,0.36251003,0.01070988,-0.455914434
1,5.372143167,1.837315021,-0.445114625,-0.897625964
1,1.039960299,0.981885322,-1.065319967,-0.248741726
1,2.178388901,0.751636501,1.564425922,-0.21099268
0,-3.324744827,-1.375569492,2.577421527,0.759384876
0,-9.952349368,-2.64146752,-1.215503297,-1.916285153
1,1.229502362,-0.616436037,-1.090048711,0.205404466
1,3.417057513,0.848584399,1.090692282,1.881683171
1,4.345036989,1.261173647,1.31109956,0.634035027
1,3.755281761,-0.294557431,0.41870102,0.843247696
1,2.172684954,1.108220839,1.334183089,0.963302545
1,2.978654127,0.388580263,-0.349567907,0.051991058
1,5.068078767,-1.068037083,1.098385176,1.396365642
1,4.215400196,0.332144706,-0.029908736,0.061422349
1,2.688705837,-1.135795531,1.183141582,-0.089071186
1,4.434382714,0.886952704,-0.616080648,0.349771739
0,-0.923957935,-0.140187574,1.530384385,-0.667126775
0,-0.37728082,-0.230104977,-0.786391105,-1.03647978
0,-3.124072334,-0.692753241,1.128588953,-2.265929111
1,2.090724948,-0.865931691,-0.444308145,-0.0974378
0,-1.581981966,-1.055885468,1.107873963,-0.887595468
1,3.331432576,0.30582239,-0.038273007,-0.090771506
1,1.319566582,1.691261171,-1.350223278,0.418455937
0,-0.206748668,-0.8230597,-1.66545226,1.257088908
1,3.003552836,1.421787876,-0.441558675,-0.199581391
1,3.458018895,0.397782278,-0.124268582,0.196342461
0,0.198320031,-0.424440477,1.148987384,-0.071026108
1,3.054557451,0.736680404,-0.513404974,-0.30516643
1,3.87627715,0.937593172,-0.233615762,0.138095717
1,-2.678257553,-0.53327687,-1.649367411,-0.537223769
1,4.564683907,1.31921161,0.934064833,1.796366308
0,-1.626196789,-1.387577085,0.59372786,-0.698623894
1,3.109573127,2.068451272,0.383762967,1.098381897
1,-1.654458574,-0.584871848,-2.339246092,0.711161527
0,1.619538158,-1.639965083,-0.513342616,0.864423041
1,1.9203465,0.16174486,0.328722957,-1.03562203
1,3.883699492,0.647547874,0.062949268,-0.811357271
1,-0.912454259,-0.912488124,2.952687943,0.20352519
0,3.405804301,-1.492500918,-0.645293669,0.546993523
1,0.055040896,1.321902347,-1.245801874,-0.755844193
1,4.922547123,-0.69204646,-0.572069562,1.083556579
0,-0.152071847,0.628083406,-0.11154938,0.339483737
0,-4.731373659,-0.527698836,-1.189941595,-1.75508185
0,-1.818530116,0.438665636,-1.419988676,-1.375864038
1,4.866036342,0.918147868,0.840244423,-0.123170634
1,6.113291332,-0.59061127,-0.23787047,1.18024296
1,7.375883847,-1.307014875,-0.907981751,1.621259579
1,-2.433280162,0.918368978,-2.018119397,1.085058449
0,-1.205586137,-0.422454271,1.205215897,-0.866557692
1,3.995453766,0.099180772,-0.502322742,0.680624572
1,3.437166466,-0.477176851,-0.193345897,0.045206403
0,-1.03102371,0.309587391,-0.315282857,-0.047588131
1,3.64238484,1.792659144,0.575370224,-0.192372023
1,2.855543718,0.586208551,0.973387966,-0.208689725
1,4.846006519,0.287671966,0.258889054,0.924357528
0,-0.021544244,-0.068867453,-1.04889528,-0.709990863
1,-0.114824202,0.256405529,-1.515221079,1.071340659
0,1.167663576,0.865178593,1.560845432,-0.766187108
1,2.266697102,1.079985044,-1.038207004,-0.095330265
1,2.706764428,0.108828653,1.212825345,0.428705609
0,0.22805445,1.605380622,0.874324684,0.40300475
0,-1.821975955,-0.041588688,-1.446687301,0.299389848
1,-1.202328002,-0.110489292,-1.823066143,0.662937437
1,-0.271511992,-1.040604311,-0.119520879,-1.403976608
1,5.19888765,-0.657780343,0.902401275,1.507970847
1,5.549228082,-0.821991589,0.898415585,1.145447057
1,0.175999312,-2.109294243,0.307668509,-0.556200059
1,0.473914819,-0.940604554,1.642821581,0.250334012
1,5.108602835,0.48982579,0.006391206,1.905956829
1,4.409294141,1.510302562,0.141347489,1.657312998
1,0.683506709,-1.502738084,0.261865544,-0.630958553
0,-3.780656873,-1.452500555,-1.431807073,-0.452486697
1,3.230437474,1.267882302,-0.300695997,1.349020156
1,3.740231491,1.059566907,1.097735621,-0.215882325
1,7.008434482,-0.263096202,0.260975917,2.396208154
1,-2.356153937,0.242165974,-1.837879916,-0.43855585
0,-1.767316833,-1.339335241,0.148187918,-0.681956625
1,2.294356718,1.96477763,-1.438601211,-0.665532059
1,3.406468258,-0.01722224,-0.360684358,-1.781019826
1,5.177878784,0.218320823,-0.10161853,0.54723699
1,2.127791765,0.883762267,-1.167935634,-0.835022114
1,3.222389402,0.932171903,1.656507469,0.060668856
1,2.160298286,0.867773772,-0.745129724,-0.333164602
0,-1.140721208,0.17813143,0.08914098,-2.119985404
1,-2.089337159,3.221649057,-1.27417851,1.263599268
1,3.947145702,-0.919402138,1.234445038,0.968697986
0,1.737486929,1.386581878,1.706461027,-1.833573209
0,-1.295235624,-0.359987721,-0.62196701,-1.816585636
1,3.933011263,0.733243224,0.480788384,-0.632247071
0,3.258321361,-0.180788985,0.769290169,-0.106576705
1,5.580680711,0.361224561,0.79097644,0.702136601
1,3.753465477,1.035257313,0.768916586,0.232293295
1,1.068813534,-0.755246025,2.144832177,0.557657479
0,-1.589653743,0.305625265,2.119047324,-1.149263683
1,2.694084822,-0.978332902,0.071444928,-0.433795888
1,0.15968173,0.87473241,-1.549864003,0.225164698
1,-0.712043079,2.372780393,-1.1069914,0.660442723
1,2.84436121,0.352651976,0.173308562,1.014135003
1,5.018576822,-0.103915127,-0.083467024,-0.374937254
1,-0.541808289,1.465550278,-1.510528756,1.127825354
1,3.663072639,-1.823052826,1.209480713,0.601689705
0,2.301325568,0.423745343,0.468790226,-0.319425564
0,-1.82300358,-0.503235422,1.237239578,-0.95612544
0,1.635194407,1.263988069,0.513208343,-0.169539157
0,-0.606988202,-0.426979389,1.434455948,0.047682122
1,6.521274795,1.31749871,0.649730145,-0.435514132
0,1.809898379,-0.173179524,0.335739742,-0.845220306
1,5.752000641,-0.687118677,-0.356755384,1.956343084
1,5.881373346,-1.459063905,0.387141052,1.04458345
1,4.048220694,-1.170476515,0.88801363,0.57968062
1,2.377108432,-0.255126519,-0.203350196,-0.28431952
0,1.111376332,-2.426120542,-0.433930039,-0.070498996
1,0.631328727,1.796859273,-1.736032976,1.010910754
0,-0.294007935,-0.34978185,1.197690627,-1.987033825
1,3.48685567,0.378776051,0.445724011,-0.11497063
1,2.025101552,1.803751701,-0.531989461,0.840197147
0,4.135591583,-0.675561568,-0.002028338,0.853044691
1,2.601633792,-0.20859615,-0.16798877,0.504485408
1,1.646703709,-0.75124089,-1.113760314,-0.064529816
0,-0.72484178,-0.665250579,-0.819641001,0.547025325
1,3.459685093,-0.045303408,1.657588019,-0.485518525
1,4.213033317,1.695157985,0.048119021,-0.92300089
0,1.261692997,0.598372706,0.43262751,-2.544574165
1,3.669632112,0.366425345,-0.569488523,-0.407434743
1,1.421724732,-0.876772822,-0.630202477,-0.763287208
0,-4.091654029,-0.940205415,1.333861086,-1.464630577
1,5.688563579,-1.13886268,0.49162643,0.862417335
1,0.431708534,-1.447355355,0.843110792,-0.78980452
0,-0.171155531,-0.472003828,-0.043485919,-1.065562297
1,4.201076792,1.665780027,0.330534265,-0.302787193
1,2.621690562,0.870209624,0.289540754,-0.486046249
1,1.889979907,1.093356589,-0.22215875,0.915322501
1,3.961011724,1.46636347,0.29422664,0.53991873
0,-9.164510129,-1.721582997,-2.39694908,-0.609549187
1,5.465125703,0.567197539,-0.307679939,2.041789166
1,-0.770527321,-0.326913888,2.009056196,-0.743420678
1,3.241096373,0.255892458,0.367694879,0.008858343
0,-1.955455897,0.383445679,2.390704188,-2.11035351
0,2.617247488,-0.155397031,0.370247486,1.054708699
1,3.31980871,0.105877143,0.990062003,0.774522312
1,4.025594218,0.922673922,0.196126309,0.338688149
1,4.034560206,0.816289497,0.218208264,-0.665264411
1,-1.825802935,0.772147373,-1.809039904,-1.196953392
1,4.167606024,-1.907371913,1.315072717,1.061483704
0,-0.542071433,-1.093398755,1.813994305,-0.817038275
0,0.97093987,0.101087752,0.882993933,1.043899229
1,4.82358889,0.587484899,0.086747285,0.654573385
1,5.004806228,-0.380280225,0.632513396,-0.149416472
0,-0.109088588,-0.251990517,-0.283602609,-0.58292907
1,1.210054378,0.528408865,-0.183798966,-0.421115671
1,2.674379116,0.469513518,-0.025853517,-1.349390791
1,3.104821085,0.660670426,-0.130132961,-0.198955399
0,-0.757153192,-0.889385714,-0.344497446,-0.813404619
1,4.359658704,-0.664926073,-1.322186491,1.801519172
1,6.44604925,-0.46506518,0.501906303,0.872250535
0,-2.82943424,-1.561992222,0.083956244,-0.490993154
0,2.545960668,-0.749921412,0.739240486,0.786278605
1,0.718734263,0.238906951,-1.315230291,0.063181593
1,2.42992617,0.263573357,1.152940966,0.899809707
1,4.125328951,1.503495195,-1.277683366,0.264483883
1,3.367250433,0.845709754,-1.01253891,-0.755533656
1,3.913528685,0.462783245,1.242123142,-0.055003391
1,-2.824164678,-0.672864285,1.274086807,-2.053139084
1,1.647765029,-0.292156059,-0.717574829,-0.266465001
1,-3.193305928,-0.412266536,-1.873823642,-0.840271547
1,4.004441478,0.297394583,-0.048730336,-0.472083359
0,1.007721661,-0.603460694,0.470036781,0.693579024
1,-0.695678654,1.511173373,-0.965344683,1.05047257
1,3.474096667,1.018798134,0.276863633,-0.490074725
0,-3.803683512,-1.361887907,-0.860900059,-0.593607006
1,2.106832478,0.781885111,-0.706268037,0.581093278
0,-2.116701452,-0.169118691,-1.294190743,-0.994954635
0,0.719467525,0.480315058,-0.454712663,-1.237122134
0,-0.853027323,-1.396965328,0.317690546,-0.684909849
1,2.233242245,0.236819269,1.606923835,-0.624578817
1,4.134007284,-0.190959433,-0.099807124,-0.675173966
1,5.783188947,-1.050080263,1.470759758,1.051698538
0,-4.612636051,-1.306501465,-1.302951144,-0.246071086
1,2.28714533,0.757340795,1.253595254,0.282354096
0,1.031244298,0.997776116,0.52075316,0.001144951
1,0.907509001,1.028734378,-0.631175093,-0.468680822
1,1.550007282,0.358114172,-0.940391849,0.388139166
1,5.002617381,0.509624042,0.0719106,-0.311683254
1,2.819094808,-0.44538717,-0.656103453,1.181986457
1,5.108305277,1.651269258,-0.362350938,0.01138795
1,4.92095113,0.350515465,0.684991014,1.356916363
1,2.57374417,-0.168697058,-0.757971846,1.858454754
0,1.760011019,0.353070051,-0.765279039,-0.121176621
1,1.533872788,0.455696971,1.51685097,-0.331311408
1,2.778968996,-0.405072868,-0.067516765,-0.481843471
1,3.362865538,0.035754983,-0.485370915,0.092325988
0,-4.709709533,1.62916471,2.529997307,-0.710382671
1,2.979014129,-0.57505467,-0.386441654,0.461095275
0,0.694734489,1.161350009,-0.73601945,-1.744181811
